Disaster: Fire | Severity: High | SMOKE:167.9, VIBRATION:8.81
Disaster: Fire | Severity: High | SMOKE:163.33, VIBRATION:8.9
Disaster: Fire | Severity: High | SMOKE:162.29, VIBRATION:8.64
Disaster: Fire | Severity: High | SMOKE:166.52, VIBRATION:8.44
Disaster: Fire | Severity: High | SMOKE:170.0, VIBRATION:8.31
Disaster: Fire | Severity: High | SMOKE:170.39, VIBRATION:8.17
Disaster: Fire | Severity: High | SMOKE:171.74, VIBRATION:8.2
Disaster: Fire | Severity: High | SMOKE:174.95, VIBRATION:8.27
Disaster: Fire | Severity: High | SMOKE:177.11, VIBRATION:8.44
Disaster: Fire | Severity: High | SMOKE:174.56, VIBRATION:8.69
Disaster: Fire | Severity: High | SMOKE:170.36, VIBRATION:8.63
Disaster: Fire | Severity: High | SMOKE:167.04, VIBRATION:8.66
Disaster: Fire | Severity: High | SMOKE:163.17, VIBRATION:8.94
Disaster: Fire | Severity: High | SMOKE:163.51, VIBRATION:8.72
Disaster: Fire | Severity: High | SMOKE:160.34, VIBRATION:8.58
Disaster: Fire | Severity: High | SMOKE:159.86, VIBRATION:8.78
Disaster: Fire | Severity: High | SMOKE:173.75, VIBRATION:3.71
Disaster: Fire | Severity: High | SMOKE:170.84, VIBRATION:3.77
Disaster: Fire | Severity: High | SMOKE:173.49, VIBRATION:3.86
Disaster: Fire | Severity: High | SMOKE:172.2, VIBRATION:3.86
Disaster: Fire | Severity: High | SMOKE:172.12, VIBRATION:4.01
Disaster: Fire | Severity: High | SMOKE:174.44, VIBRATION:3.79
Disaster: Fire | Severity: High | SMOKE:174.11, VIBRATION:3.92
Disaster: Fire | Severity: High | SMOKE:178.25, VIBRATION:3.8
Disaster: Fire | Severity: High | SMOKE:179.93, VIBRATION:3.96
Disaster: Fire | Severity: High | SMOKE:180.46, VIBRATION:4.2
Disaster: Fire | Severity: High | SMOKE:181.98, VIBRATION:4.0
Disaster: Fire | Severity: High | SMOKE:178.18, VIBRATION:3.74
Disaster: Fire | Severity: High | SMOKE:174.32, VIBRATION:3.98
Disaster: Fire | Severity: High | SMOKE:172.51, VIBRATION:3.85
Disaster: Fire | Severity: High | SMOKE:175.61, VIBRATION:3.61
Disaster: Fire | Severity: High | SMOKE:1.32, VIBRATION:8.31
Disaster: Fire | Severity: High | SMOKE:2.66, VIBRATION:8.05
Disaster: Fire | Severity: High | SMOKE:150.99, VIBRATION:5.46
Disaster: Fire | Severity: High | SMOKE:6.25, VIBRATION:7.87
Disaster: Fire | Severity: High | SMOKE:155.61, VIBRATION:5.36
Disaster: Fire | Severity: Low | SMOKE:13.24, VIBRATION:0.2
Disaster: Fire | Severity: High | SMOKE:1.87, VIBRATION:8.15
Disaster: Fire | Severity: High | SMOKE:156.32, VIBRATION:5.29
Disaster: Fire | Severity: Low | SMOKE:12.51, VIBRATION:0.34
Disaster: Fire | Severity: Medium | SMOKE:134.46, VIBRATION:4.86
Disaster: Fire | Severity: High | SMOKE:5.35, VIBRATION:8.38
Disaster: Fire | Severity: High | SMOKE:151.46, VIBRATION:5.47
Disaster: Fire | Severity: Low | SMOKE:8.35, VIBRATION:0.04
Disaster: Fire | Severity: High | SMOKE:133.98, VIBRATION:5.1
Disaster: Fire | Severity: High | SMOKE:181.07, VIBRATION:0.66
Disaster: Fire | Severity: High | SMOKE:0.72, VIBRATION:8.52
Disaster: Fire | Severity: High | SMOKE:149.35, VIBRATION:5.23
Disaster: Fire | Severity: Low | SMOKE:8.89, VIBRATION:0.23
Disaster: Fire | Severity: High | SMOKE:131.3, VIBRATION:5.22
Disaster: Fire | Severity: High | SMOKE:185.8, VIBRATION:0.48
Disaster: Fire | Severity: Medium | SMOKE:83.0, VIBRATION:4.62
Disaster: Fire | Severity: High | SMOKE:2.8, VIBRATION:8.35
Disaster: Fire | Severity: High | SMOKE:151.68, VIBRATION:5.49
Disaster: Fire | Severity: Low | SMOKE:8.96, VIBRATION:0.19
Disaster: Fire | Severity: High | SMOKE:127.45, VIBRATION:5.5
Disaster: Fire | Severity: High | SMOKE:187.62, VIBRATION:0.24
Disaster: Fire | Severity: Medium | SMOKE:81.74, VIBRATION:4.61
Disaster: Fire | Severity: High | SMOKE:0, VIBRATION:8.64
Disaster: Fire | Severity: High | SMOKE:196.24, VIBRATION:0.53
Disaster: Fire | Severity: High | SMOKE:154.84, VIBRATION:5.61
Disaster: Fire | Severity: Low | SMOKE:10.31, VIBRATION:0.17
Disaster: Fire | Severity: High | SMOKE:126.83, VIBRATION:5.39
Disaster: Fire | Severity: High | SMOKE:183.33, VIBRATION:0.24
Disaster: Fire | Severity: Medium | SMOKE:80.74, VIBRATION:4.87
Disaster: Fire | Severity: High | SMOKE:3.19, VIBRATION:8.56
Disaster: Fire | Severity: High | SMOKE:198.72, VIBRATION:0.66
Disaster: Fire | Severity: High | SMOKE:153.51, VIBRATION:5.31
Disaster: Fire | Severity: High | SMOKE:102.08, VIBRATION:9.42
Disaster: Fire | Severity: Low | SMOKE:9.73, VIBRATION:0.32
Disaster: Fire | Severity: High | SMOKE:126.63, VIBRATION:5.29
Disaster: Fire | Severity: High | SMOKE:182.05, VIBRATION:0.51
Disaster: Fire | Severity: High | SMOKE:85.44, VIBRATION:5.12
Disaster: Fire | Severity: High | SMOKE:8.05, VIBRATION:8.56
Disaster: Fire | Severity: High | SMOKE:202.62, VIBRATION:0.37
Disaster: Fire | Severity: High | SMOKE:153.78, VIBRATION:5.12
